image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.720945,car,car,True
drive_022,2,1,0.8024,car,car,True
drive_022,3,4,0.605569,car,car,True
drive_022,4,2,0.888985,bus,van,False
drive_022,5,5,0.807911,truck,bus,False
drive_033,1,9,0.691438,car,car,True
drive_033,6,3,0.767246,car,car,True
drive_033,7,4,0.69416,car,car,True
drive_033,8,7,0.800788,car,car,True
drive_033,9,5,0.694691,car,car,True
drive_033,14,6,0.655508,car,car,True
drive_033,15,8,0.742504,car,car,True
drive_033,16,11,0.825202,car,car,True
drive_033,17,2,0.725814,truck,bus,False
drive_033,18,1,0.96944,bus,van,False
drive_033,19,12,0.829968,bus,van,False
drive_033,20,10,0.677509,car,car,True
drive_038,1,2,0.906579,car,car,True
drive_038,2,1,0.819877,car,car,True
drive_038,3,3,0.855336,car,car,True
drive_038,4,4,0.90027,car,car,True
drive_038,5,7,0.726943,car,car,True
drive_038,6,8,0.77544,car,car,True
drive_038,7,10,0.825987,car,car,True
drive_038,8,11,0.808759,car,car,True
drive_038,9,13,0.816009,car,car,True
drive_038,10,14,0.847663,car,car,True
drive_038,13,5,0.913379,truck,bus,False
drive_038,17,9,0.816577,truck,bus,False
drive_038,19,15,0.789983,van,truck,False
drive_038,21,6,0.842394,car,car,True
drive_008,1,16,0.891857,car,car,True
drive_008,2,4,0.951605,car,car,True
drive_008,3,11,0.893733,car,car,True
drive_008,5,6,0.854073,car,car,True
drive_008,6,2,0.889178,car,car,True
drive_008,14,15,0.172704,car,car,True
drive_008,15,13,0.664357,car,car,True
drive_008,17,1,0.836806,truck,bus,False
drive_008,20,3,0.889406,van,truck,False
drive_008,21,5,0.789716,van,truck,False
drive_008,23,9,0.930456,bus,van,False
drive_008,25,14,0.867831,car,car,True
drive_008,26,7,0.838827,car,car,True
